"id","addresse","city","name","postal_code","phone_number"
40,"2, Chemin de Fregeneuil","Soyaux","CENTRE CLINICAL DE SOYAUX","16800","+33545696628"
41,"11, Boulevard Ambroise Pare","Saintes","Centre de vaccination des Soignants professionnels de ville - CH Saintonge","17100","+33546951001"
42,"53, Avenue du 8 Mai 1945","Mende","CH Lozère","48000","+33800541919"
43,"4, Avenue Winston Churchill","Jonzac","CH JONZAC (réservé aux professionnels de santé)","17500","+33546701035"
44,"47, Boulevard Gambetta","Rouen","CHU ROUEN - BATIMENT AUBETTE","76000","+33800009110"
45,"20 , Avenue du Languedoc","Perpignan","Covax Ambu - bâtiment ancien service rhumatologie du CH de Perpignan","66000","+33800541919"
46,", Quartier Saint Christophe","Digne-les-Bains","CHI Digne les Bains","04000","+33492301292"
47,", Rue du Docteur Albert Schweitzer","La Rochelle","CH LA ROCHELLE (réservé aux professionnels de santé)","17000","+33546456666"
48,"100, Avenue du Président François Mitterrand","Fécamp","CH FECAMP - HALL DU RDC","76400","+33800009110"
49,", Rue de Narvik","Gap","Centre de vaccination de GAP - ALP’ARENA","05000","04 92 40 79 51"
50,"33, Rue du Haut Rocher","Laval","Centre de vaccination anti-covid - Réservé aux professionnels de Santé CH Laval","53000","+33243665155"
51,"1, Avenue de Beligon","Rochefort","CH ROCHEFORT(réservé aux professionnels de santé)","17300",NULL
52,", Léon Schwartzenberg","Évreux","CHI Eure-seine site Evreux","27000","+33800009110"
53,"10, Rue Hancy","Nice","Centre de vaccination de la ville de Nice","06000","04 97 13 56 04"
54,", Avenue du 9 Septembre","Corte","CH Corte Tattone","20250","+33685956053"
55,"900, Route de Paris","Viriat","Centre de vaccination de Bourg-en-Bresse","01440",NULL
56,"2, Rue de l'Ayguerote","Tarbes","Site gériatrique de l'Ayguerote CH de Bigorre","65000","+33800541919"
57,"10, Rue Marcel Proust","Saint-Brieuc","ST BRIEUC - CH (réservé PS)","22000",NULL
58,"5, rue du docteur Jules Burnet","Vernon","CH Eure-seine Vernon Pavillon Aguilar","27200",NULL
59,"178, Avenue Bollée","Le Mans","Centre de Vaccination - LE MANS- UC-IRSA","72000","+33234374000"
60,"10, Avenue du Général de Gaulle","Moulins","Centre de vaccination - Centre Hospitalier Moulins-Yzeure","03000","+33470461110"
61,"1, Rue Joseph Cugnot","Nancy","Nancy - Tour Marcel Brot","54000",NULL
62,"1, Boulevard du Dr Verlhac","Brive-la-Gaillarde","CH BRIVE","19100","+33555087536"
63,"19, Rue Jean Duhornay","Eu","CH EU","76260","+33800009110"
64,",  Salle Victor Hugo, place carnot","Avranches","Avranches","50300","+33800009110"
65,"85, Rue Maximin Audemar","Brest","BREST - CHU Site Cavale Blanche (réservé PS)","29200",NULL
66,"52, Place Antonin Bergon","Cahors","CH Jean Rougier - Cahors","46000","+33800541919"
67,", Rue Marine-Dunkerque","Granville","Granville : salle saint-nicolas","50400","+33800009110"
68,"3, Place du Docteur Maschat","Tulle","CH TULLE","19000","+33555087534"
69,", Esplanade de la Pantiéro","Cannes","Gare Maritime","06400","+33497064000"
70,"4, Cite d’Anthouard","Verdun","Centre de vaccination de Verdun (Salle Cassin) (Equipe mixte CH/médecine de ville)","55100","+33801908955"
71,", Rue de Messei","Flers","Ancienne clinique Saint-Dominique","61100",NULL
72,"106, Boulevard de Paris","Marseille","Centre vaccination Hopital Européen - Consultations médicales NEOLIS","13003","+33413427827"
73,", Place des Justes - Octeville","Cherbourg-en-Cotentin","Centre de vaccination Cherbourg-en-Cotentin : Salle Montecot (Octeville)","50130","+33800009110"
74,"2, Avenue du Docteur Roullet","Ussel","CH USSEL","19200","+33555087531"
75,"22, chemin des Amoureux","Guéret","CH GUERET, ESPACE CREOLE","23000","+33555515571"
76,"5, Rue Racine - Salle multiculturelle","Bagnols-sur-Cèze","Centre de vaccination Grand Public","30200","0800009110"
77,"1, salle du chateau, rue villault-duchesnois","Valognes","Valognes : salle du chateau","50700","+33800009110"
78,"15, Chemin des Feutres de Toulon","Périgueux","Grand Centre Périgueux - Filature de l'Isle","24000","+33553453133"
79,"1, Place du Maréchal de Lattre de Tassigny","Moulins","Communauté Professionnelle Territoriale de Santé Nord Allier","03000","+33470485000"
80,", Route de Rouen","Gisors","CH Gisors","27140","+33800009110"
81,"1, PLACE AMELIE RABA LEON","Bordeaux","CHU BORDEAUX - SITE PELLEGRIN","33000","+33557820005"
82,", Avenue Montferrat","Draguignan","CH de la Dracénie Draguignan","83300","+33494605626"
83,", quai Enguerrand de Marigny","Les Andelys","CH Les Andelys","27700","+33800009110"
84,"5, Rue Anne de Ticheville","Bernay","CH Bernay","27300","+33800009110"
85,", Stade Claude Papi","Porto-Vecchio","CMA Porto Vecchio","20137","0980803064"
86,"101, rue des Poissonniers","Verneuil d'Avre et d'Iton","CH Verneuil","27130","+33800009110"
87,"1, Rue Jean Burguet","Bordeaux","CHU BORDEAUX - SITE SAINT ANDRE","33000","+33557820005"
88,", avenue pasteur","Dieppe","CH DIEPPE","76200","+33800009110"
89,", Avenue du Haut Lévèque","Pessac","CHU BORDEAUX - SITE GH SUD (adultes et enfants)","33600","+33524549293"
90,"2 , avenue Pasteur","Privas","CENTRE HOSPITALIER VALS D'ARDECHE - Bâtiment Esperanto 1er étage","07000","+33475667799"
91,", Allee des Augustines","Bayeux","CH Aunay Bayeux","14400","+33800009110"
92,"421,  Avenue 1er Bataillon Infanterie de Marine du Pacifique","La Garde","Service de santé au travail de lhôpital Clemenceau (Réservé aux professionnels de santé libéraux)","83130",NULL
93,"50, Avenue de la République","Aurillac","Centre vaccination-Centre hospitalier d'Aurillac  ","15000","+33471464680"
94,", AV JEAN HAMEAU","La Teste-de-Buch","CH ARCACHON","33260","+33557529570"
95,"5, rue de Copenhague","Rodez","Rodez ","12000","+33800009110"
96,"4, rue du docteur villers","Saint-Aubin-lès-Elbeuf","CHI Elbeuf","76410","+33800009110"
97,"179 a, Boulevard Maréchal Juin","Valence","Centre de vaccination du centre hospitalier de Valence","26000","+33475757700"
98,"112, Rue de la Marne","Libourne","CH LIBOURNE","33500","+33524501717"
99,"3, Rue de l'Industrie","Sancoins","Centre de vaccination de Sancoins - MSP en Berry","18600","0 800 009 110"
100,"240, avenue de Saint Lambert","Fréjus","Salle polyvalente du CHI Fréjus St Raphaël - site Bonnet","83600","+33494402597"
101,"10, Allée du Parc","Arcachon","Mairie d'Arcachon -Salle Polyvalente Tir au Vol","33120","+33557529880"
102,", Route Départementale 559","Gassin","Urgences du CH de Saint Tropez","83580","+33498125308"
103,"44, Avenue du Pdt J Fitzgerald Kennedy","Dreux","Centre de vaccination - réservé professionnels de santé et assimilés - CH Dreux","28100",NULL
104,"30, Ctre Hosp Regional (ancienne entrée des urgences)","La Tronche","Centre de vaccination adulte - Centre hospitalier universitaire de Grenoble CHUGA (Ancienne entrée des urgences)","38700","+33476768618"
105,"1171, Avenue Gaston Feuillard","Basse-Terre","Centre de vaccination du Centre Hospitalier de la Basse-Terre","97100","0590805457"
106,", Route de Jallans","Châteaudun","Centre de vaccination réservé professionnels de santé et assimilés - CH Châteaudun","28200","0 800 009 110"
107,"1361, Av a Combattants Fr Indochine","La Seyne-sur-Mer","Clinique du Cap d'Or","83500","04 83 16 81 79"
108,"34, Avenue Jacques Chirac","Voiron","Centre de vaccination - Hôpital de Voiron","38500","+33476768618"
109,"29, Avenue Pierre Mendès France","Montivilliers","GHH site de monod","76290","+33800009110"
110,"2, Route du Lanot","Dax","Centre de vaccination du CH de Dax - site du LANOT","40100","0 800 00 91 10"
111,"2, Boulevard Tonnellé","Tours","CHRU Tours - Site de Bretonneau  - CAP Santé Centre de vaccination","37000","+33247478181"
112,"23, Rue des Acres","Vire Normandie","Clinique Vire","14500","+33800009110"
113,"3, Rue de la Guillerie","Saint-Sever","Centre de Vaccination du CH de Saint Sever","40500","+33558764545"
114,"4, rue Roger Aini","Lisieux","CH de Lisieux","14100","+33800009110"
115,", Place Victor Pauchet","Amiens","Centre de vaccination- CHU Amiens","80080","+33392043471 "
116,"108, Rue de la Ferme de Fatigue","Mont-de-Marsan","Centre de vaccination du CHI de Mont de Marsan","40000","05 58 05 13 00"
117,"4, Chemin de Barrau","Saint-Jean-de-Verges","CHIVA","09000","+33800009110"
118,"1, Boulevard d’Argonne","Bar-le-Duc","Centre de vaccination de Bar-le-Duc ","55000","+33801908955"
119,"6 B, Rue du Stade","Bar-sur-Seine","Centre de vaccination de Bar sur Seine, MSP","10110","+33674308462"
120,", Avenue de la République","Chambray-lès-Tours","CHRU de Tours - Site de Trousseau - réservé aux professionnels en exercice","37170","+33247477560"
121,"64, 64 route de lisieux","Pont-Audemer","CH Pont Audemer","27500","+33800009110"
122,"18, Rue des Roquemonts","Caen","CHP Saint Martin ","14000","+33800009110"
123,", Place du Jeu de Paume","Péronne","Centre de vaccination - CH PÉRONNE","80200","03 92 04 34 71 "
124,"21, Route Villeneuve rn 21","Agen","CH AGEN","47000","+33553697495"
125,", Rue des Frères Lacretelle","Metz","Centre de vaccination de Metz - HIA LEGOUEST Maison médicale de garde CPTS Metz","57070","+33387345345"
126,"4, Boulevard Hauterive","Pau","Centre Hospitalier de PAU","64000","+33559825378"
127,"13, Avenue Interne Jacques Loeb","Bayonne","CH BAYONNE","64100","+33559443535"
128,"108 bis, Avenue Albert Raimond","Saint-Priest-en-Jarez","CHU DE SAINT-ETIENNE - Hôpital Nord - Nouveaux locaux parking P3","42270","+33970771710"
129,"1, Avenue Alexander Fleming","Oloron-Sainte-Marie","CH OLORON","64400","+33559883207"
130,", ZAC des All. des Portes Occitanes,","Vals-près-le-Puy","Centre de vaccination du CH du Puy en Velay (Emile Roux)","43750","+33471043314"
131,"29, Rue du Faubourg National","Strasbourg","Centre de vaccination Sainte Barbe du Groupe Hospitalier Saint Vincent","67000","+33970818161"
132,"228, Roses","Saint-Lizier","Couserans - CHAC","9190",NULL
133,"40, Avenue Charles de Gaulle","Niort","CH NIORT","79000","+33549782012"
134,"95, Rue Joseph Monnier","Brignoles","Maison Médicale de Garde - hôpital de Brignoles","83170","+33494726600"
135,"1, Rue des Dragons","Saverne","Centre de vaccination du pays de Saverne","67700","09.70.81.81.61"
136,"58, Rue Montalembert","Clermont-Ferrand","Centre de vaccination du Centre Hospitalier Universitaire DE CLERMONT-FERRAND, site Gabriel MONTPIED","63000","+33473754117"
137,"305, Rue Raoul Follereau","Avignon","Centre de vaccination CH Avignon","84000","+33432759690"
138,"2, Rue de la Milètrie","Poitiers","CHU POITIERS - Site de LA MILETRIE","86000","+33516604064"
139,"861, Avenue Pierre de Coubertin","Carpentras","CH de Carpentras","84200","+33423100338"
140,"20, Avenue du Général de Gaulle","Foix","Centre de vaccination Foix Estive","9000",NULL
141,"15, Avenue Pierre Grand","Cavaillon","Centre de vaccination MIN Cavaillon","84300","04 86 55 27 24"
142,", Rue Docteur Luc Montagnier","Châtellerault","Centre de vaccination - CHU POITIERS - Site de CHÂTELLERAULT","86100","+33516604064"
143,"46, Rue du 12e Regiment d’Artillerie","Saint-Dié-des-Vosges","Centre de vaccination de St Dié des Vosges (Palais Omnisports)","88100","+33329421675"
144,", Route de Fau","Thiers","Centre de vaccination de Thiers - Centre hospitalier - Locaux USN 2","63300","+33623787578"
145,"64, Av du Professeur Rene Leriche","Haguenau","Centre de vaccination du CH de Haguenau","67500","+33388063177"
146,"1, Rue de la Providence","Poitiers","POLYCLINIQUE DE POITIERS","86000","+335 49 61 70 69"
147,"26, Rue du Mas","Issoire","Centre de vaccination du Centre Hospitalier d'Issoire","63500","+33473718858"
148,"2, Avenue Martin Luther King","Limoges","CHU LIMOGES - SITE DUPUYTREN 1","87000","+33555087520"
149,"13, Rue Franz Schubert","Sélestat","Centre de vaccination Sélestat -Les Tanzmatten ","67600","09 70 81 81 61"
150,"60, Chemin de la Madeleine","Carcassonne","CH Carcassonne","11000","+33800541919"
151,"1, Rue Michel de l'Hospital","Saint-Quentin","Centre de vaccination- CH Saint-Quentin","02100","03 92 04 34 71 "
152,"11, Rue Vaucanson","Clermont-Ferrand","Centre de vaccination départemental - Dispensaire Emile Roux","63100","+33473145000"
153,"5, Place du Président Magnaud","Saint-Yrieix-la-Perche","CH ST YRIEIX","87500","+33555087538"
154,"286, Rue du Professeur Robert Debre","Nîmes","CHU Nîmes","30900","0800009110"
155,"12, Rue Chateaubriand","Saint-Junien","CH SAINT JUNIEN","87200","+33555087533"
156,"103 , Grande rue de la Croix-Rousse","Lyon","Centre de vaccination - Hôpital de la Croix Rousse- HCL","69004","+33423101010"
157,"1280, Avenue de la Division Leclerc","Neufchâteau","Centre de vaccination de Neufchateau","88300","+33329948605"
158,"18, Rue Général Catroux","Limoges","POLYCLINIQUE - SITE CHENIEUX ","87000","+33555087540"
159,"811, avenue du Dr Jean Goubert","Alès","CH Alès","30100","+33800541919"
160,"5, Place d'Arsonval","Lyon","Centre de vaccination -Hôpital Edouard Herriot-HCL","69003","+33423101010"
161,"41, Rue André Godin","Guise","Centre de vaccination- Maison de Santé Pluriprofessionnelle Champagne Picardie Guise","02120","+33323057580"
162,"1, Rue Georges Lang","Remiremont","Centre de vaccination de Remiremont","88200","+33329666221"
163,"165, Chemin du Grand Revoyet","Pierre-Bénite","Centre de vaccination -Hôpital Lyon sud - HCL","69310","+33423101010"
164,"3, Avenue Robert Schuman","Épinal","Centre de vaccination d'Epinal (CH Emile Durkheim)","88000","+33329666220"
165,", La Meynard","Fort-de-France","Centre de vaccination du CHUM","97200","0596552301"
166,"72, Avenue Charles de Gaulle","Laon","Centre de vaccination - CH LAON","02000","03 92 04 34 71"
167,", Route d'EPINAY- Parking P2","Gleizé","Centre de vaccination de l'Hôpital Nord-Ouest-Villefranche - Hôpital de Gleizé","69400","+33423101010"
168,"46, Avenue du Général de Gaulle","Soissons","Centre de vaccination - CH Soissons ","02200","+33392043471 "
169,"740, Faubourg Maché - Espace santé publique - bâtiment Saint Hélène - 2éme étage","Chambéry","Centre de vaccination COVID - CHAMBERY Centre Hospitalier","73000","+33479965519 "
170,", Route de Verdilly","Château-Thierry","Centre de vaccination- CH Château-Thierry","02400","+33392043471"
171,"1 , avenue de l'hôpital","Epagny Metz-Tessy","CENTRE HOSPITALIER  ANNECY GENEVOIS","74370","+33456497427"
172,"94, Rue Anciens Combattants Afn Tom","Chauny","Centre de vaccination - CH Chauny","02300","+33392043471 "
173,"1, rue du Bon Pasteur","Annonay","CENTRE HOSPITALIER D'ARDECHE NORD (Professionnels de santé uniquement)","07100","+33475673927"
174,"16 bis, Chemin du Paradis","Uzès","CH Mas Careiron","30700","+33800541919"
175,"40, Rue aux Loups","Hirson","Centre de vaccination - CH Hirson","02500","+33392043471 "
176,"24, Chemin de Roqua","Aubenas","Centre de vaccination du CH d'Aubenas - Gymnase Roqua","07200","+33475356222"
177,"1, Boulevard du Docteur Schweitzer","Saint-Quentin","Centre de vaccination - Hopital privé Saint Claude (ELSAN)","02100","+33392043471 "
178,"17, Place de la Daurade","Toulouse","CDV31 Toulouse La Daurade","31000","+33800009110"
179,"8, Rue de Vaux","Melun","Centre de vaccination du GHSIF Melun","77000","+33181742700"
180,"1, Boulevard du Professeur Jules Leclercq","Lille","MSP Paul BOULANGER","59000","+33362943677"
181,"76, Rue Chateaubriand","Dinan","DINAN - CH (réservé PS)","22100",NULL
182,"21, Rue de Trorozec","Lannion","LANNION - CH (réservé PS)","22300",NULL
183,"15, Rue de Kersaint-gilly","Morlaix","MORLAIX - CH (réservé PS)","29600","+33257180061"
184,"36, Chemin de Kerpuns","Paimpol","PAIMPOL - CH (réservé PS)","22500",NULL
185,"22, Rue Watteau","Cambrai","Centre de vaccination - Clinique Sainte Marie (GHICL) ","59400","03 92 04 34 71 "
186,"1, Rue de la Marne","Saint-Malo","ST-MALO - CH (enfants)","35400","+33805690821"
187,"24, Avenue Adrien Daurelle","Briançon","Centre Hospitalier des Escartons","05100","+33492252377"
188,"14, Avenue Yves Thepot","Quimper","QUIMPER CHIC Site hôpital Laënnec (réservé PS)","29000","+33257180061"
189,", rue du Docteur Provansal","Laragne-Montéglin","Centre de vaccination du CH-Buech Durance LARAGNE","05300","+33492655118"
190,"2, Rue Cordier","Breil-sur-Roya","Hopital de Breil / MSP de la Roya","06540","04 22 16 37 39"
191,"1 bis, Route de Cambrai","Dechy","Centre de vaccination - CH Douai","59187","+33327947979"
192,"20, Avenue de la Reconnaissance","Villeneuve-d'Ascq","Centre de vaccination - HOPITAL PRIVE DE VILLENEUVE D'ASCQ","59650","+33970301707"
193,"44, Avenue Marx Dormoy","Lille","Centre de vaccination - HOPITAL PRIVÉ LE BOIS","59000","+33970301706"
194,"130, Avenue Louis Herbeaux","Dunkerque","Centre de vaccination - CH DUNKERQUE","59240","+33392043471 "
195,", Boulevard Robert Ballanger","Aulnay-sous-Bois","CHI Robert Ballanger (Aulnay)","93600","01 49 36 73 07"
196,"13, Rue de l'Hôpital","Fourmies","Centre de vaccination - CH Fourmies","59610","+33392043471 "
197,"403, Avenue de la République","Nanterre","Centre de vaccination CASH de Nanterre","92000","+33147697234"
198,"10, Avenue Vauban","Valenciennes","Centre de vaccination - POLYCLINIQUE VAUBAN","59300","03 92 04 34 71 "
199,"53, Avenue Blanche de Castille","Poissy","Centre de Poissy","78300","+33139225688"
200,"48 bis, Rue Henri Barbusse","Saint-Saulve","Centre de vaccination - POLYCLINIQUE DU PARC","59880","03 92 04 34 71 "
201,"1, Chemin de Ghissignies","Le Quesnoy","Centre de vaccination - CH LE QUESNOY, Salle de sport","59530","+33327149272 "
202,"26, Avenue Charles de Gaulle","Étampes","CHSE ETAMPES","91150","+33160807676"
203,"40, Avenue Léon Blum","Beauvais","Centre de vaccination - CH de beauvais -( bâtiment AZUR pour les adultes et urgences pédiatriques pour les enfants )","60000","03 92 04 34 71 "
204,"SALLE POLYVALENTE TOTEM, Avenue ANDRE MALRAUX","Lagny-sur-Marne","Lagny Centre de vaccination du Totem ","77400","0800077400"
205,"8, Avenue Henri Adnot","Compiègne","Centre de vaccination - Centre Hospitalier Intercommunal de Compiègne-Noyon, site de Mercière ","60200","03 92 04 34 71 "
206,"Maison de l'Europe - 312, Avenue Napoléon Bonaparte","Rueil-Malmaison","CENTRE RUEIL-MALMAISON","92500","+33171061006"
207,"125, Rue de Stalingrad","Bobigny","AVICENNE (AHPH - BOBIGNY)","93000","08 09 10 20 89"
208,"14, Avenue Paul Rouge","Senlis","Centre de vaccination - CH Senlis GHPSO","60300"," +33392043471 "
209,"2, Rue du Docteur Delafontaine","Saint-Denis","CH SAINT-DENIS","93200","+33142356090"
210,"56, Boulevard de la Boissière","Montreuil","CH André Grégoire de Montreuil ","93100","01 49 20 30 27"
211,"57, Avenue Winston Churchill","Arras","Centre de vaccination - CH Arras","62000","03 92 04 34 71 "
212,"57, Rue de la République","Bapaume","Centre de vaccination - CH de Bapaume ","62450","03 92 04 34 71 "
213,"10, Rue du Génèral Leclerc","Montfermeil","GHI Le raincy-Montfermeil","93370","+33646777575"
214,"173 bis, Route de Desvres","Saint-Martin-Boulogne","Centre de vaccination - HPL CMCO Cote d'Opale","62280","+33970301701"
215,"40, Allée de la Source","Villeneuve-Saint-Georges","CH INTERCOMMUNAL DE VILLENEUVE SAINT GEORGES","94190","+33143862150"
216,"69, Rue du Lieutenant Colonel Prudhon","Argenteuil","VICTOR DUPOUY","95100","+33134231757"
217,"82, Rue Marcel Bourdarias","Alfortville","CENTRE DE VACCINATION AMBULATOIRE ALFORTVILLE","94140","+33158732880"
218,"2, Boulevard du 19 Mars 1962","Gonesse","Centre Hospitalier de Gonesse","95500","01.82.32.05.96"
219,"12, Avenue Victor Hugo","Nogent-sur-Marne","CENTRE NOGENT SUR MARNE","94130","+33143246221"
220,"71, Rue Ambroise Paré","Blendecques","Centre de vaccination - Clinique Saint Omer","62575","03 92 04 34 71 "
221,"27, Rue Delbecque","Beuvry","Centre de vaccination - CH Béthune, Service Aire cancer ","62660","03 92 04 34 71 "
222,"22, Place Frederic Barberousse","Dole","Dole - Le manège de Brack","39100","+33384868600"
223,"33, Route de Foix","ARIGNAC","MSP Mercus Tarascon","9400",NULL
224,", ZA de la Laure","Saverdun","Cabinet médical de Saverdun","9700",NULL
225,"19, Avenue Monseigneur de Langle","Castelnaudary","CH Castelnaudary - Jean Pierre Cassabel","11400","+33800009110"
226,"33, Cote de Graves","Villefranche-de-Rouergue","Villefrance-De-Rouergue","12200","+33800009110"
227,"2, avenue Pierre Sémart","Millau","Centre de Vaccination Millau","12100","+33800009110"
228,", Avenue Ségusino","Saint-Jory","CDV31 Saint Jory","31790","+33800009110"
229,"2, Rue des Tourterelles","Montpellier","MONTPELLIER Maison médicale de garde","34090","+33800009110"
230,"5, Rue Ecole de Médecine","Montpellier","MONTPELLIER CVP Bouisson Bertrand","34000","+33800009110"
231,"1601, Boulevard des Justes","Calais","Centre de vaccination - CH Calais","62100",NULL
232,"39, Rue Elie Gruyelle","Hénin-Beaumont","Centre de vaccination - Hénin Beaumont- Salle Polonia - Espace Lumière","62110","03 92 04 34 71 "
233,"150, Rue Super Nova","Vailhauquès","VAILHAUQUES Service de Santé SDIS 34","34570","+33800009110"
234,"99, Route de la Bassée","Lens","Centre de vaccination - CH LENS","62300","03 92 04 34 71 "
235,"172, Rue d'Hesdin","Gauchin-Verloingt","Centre de vaccination - MSPP Léonard de Vinci, sur site centre hospitalier Ternois","62130","03 92 04 34 71 "
236,", Avenue Président Georges Pompidou","Figeac","CH Figeac","46100","+33800541919"
237,"Foyer Daniel ROQUES , rue hivernerie","Gourdon","CH Jean Coulon - Gourdon","46300","+33800541919"
238,", Route de saugues","Le Malzieu-Ville","MSP SAINT CHELY D'APCHER - Maison des services","48140","+33800541919"
239,", route du stade","Argelès-Gazost","CENTRE DE VACCINATION DE ARGELES GAZOST","65400","+33800009110"
240,", Salle des fêtes - Rue du Maréchal Juin","Lannemezan","CENTRE DE VACCINATION DE LANNEMEZAN","65300","+33800009110"
241,", Halle aux grains - Place Eugène Toujas","Bagnères-de-Bigorre","CENTRE DE VACCINATION DE BAGNERES-DE-BIGORRE","65200","0800009110 "
242,"11 , cami de la ribereta - bat la ribereta","Err","GCS Pôle Sanitaire Cerdan","66800","+33800541919"
243,", Route de la Foret","Les Angles","MSP Les Angles","66210","+33800541919"
244,", route de Cattlar","Prades","CH Prades","66500","+33800541919"
245,"28, Boulevard du Cambre d'Aze","Font-Romeu-Odeillo-Via","MSP Font Romeu","66120","+33800541919"
246,"22, Boulevard Général Sibille","Albi","CH Albi","81000","+330800009110"
247,"6, Avenue de la Montagne Noire","Castres","CH Castres","81100","+330800 009 110 "
248,"141, Chemin de Saint Hippolyte","Castres","Clinique du Sidobre","81100","+33800541919"
249,"100, Rue Léon Cladel","Montauban","CH Montauban","82000","+33800541919"
250,"31, Rue de Turenne","Nègrepelisse","CH Nègrepelisse ","82800","+33800541919"
251,"32, Rue de Paris","Breteuil","Centre de vaccination - Institut Médical Rééducation et réadaptation - Breteuil - LNA Santé","60120","03 92 04 34 71 "
252,"34, Rue Pierre Budin","Chaumont-en-Vexin","Centre de vaccination - CH Chaumont en Vexin ","60240","03 92 04 34 71 "
253,"1, Avenue Patrick Guillot","Nevers","CH Agglomération de Nevers","58000","+33386937408"
254,", Rue Guy Boulet","Breuil-le-Sec","Centre de vaccination - CHI Clermont","60840","03 92 04 34 71 "
255,"71, Boulevard Laennec","Creil","Centre de vaccination - CH CREIL GHPSO ","60100","+33392043471 "
256,"2, avenue René Heymes","Vesoul","CH de Vesoul - centre pour professionnels de santé","70000","+33384962190"
257,"7, Rue Jean-jacques Bernard","Compiègne","Centre de vaccination - Polyclinique SAINT COME","60200","03 92 04 34 71 "
258,"28, Boulevard Paturle","Le Cateau-Cambrésis","Centre de vaccination - CH LE CATEAU","59360","+33392043471 "
259,"4, Rue Capitaine Drillien","Chalon-sur-Saône","Centre de vaccination du CH William Morey","71100",NULL
